■ 월별 박스오피스,,,,,,,,,,,,
- 조회일: 2022-01-20,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 202101~202106   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,,,
,,,,,,,,,,,,
● 2021년 06월,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
134,쉘부르의 우산,1992-09-26,"1,350,000",0.0%,"122,505,168",204,"16,830",1,14,프랑스,"프랑스,독일",(주)에스와이코마드
134,소울,2021-01-20,"1,463,440",0.0%,"19,033,758,180",204,"2,048,079",2,5,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
136,일 트로바토레,2016-01-16,"4,745,700",0.0%,"74,283,200",193,"3,012",7,47,미국,미국,(주) 인스터 글로벌
137,쇼크 웨이브 2,2021-05-20,"993,000",0.0%,"17,952,300",191,"3,321",9,44,중국,중국,(주)누리픽쳐스
138,컨저링 2,2016-06-09,"1,895,500",0.0%,"15,776,769,219",183,"1,930,385",52,59,미국,미국,워너브러더스 코리아(주)
139,꼬마 마법사 레미 : 견습 마법사를 찾아서,2021-05-19,"2,031,200",0.0%,"37,980,500",182,"3,372",5,37,일본,일본,(주)얼리버드픽쳐스
140,스쿨 오브 락(樂),2021-05-13,"608,000",0.0%,"3,605,000",177,501,5,54,한국,한국,(주)드림팩트엔터테인먼트
141,징기스칸,1977-03-18,"440,000",0.0%,"19,775,000",176,"9,549",1,8,미국,미국,
142,간이역,2021-02-18,"1,392,000",0.0%,"26,881,340",174,"3,061",1,6,한국,한국,(주)드림팩트엔터테인먼트
143,장마,,"346,000",0.0%,"9,388,000",173,"4,691",1,9,한국,한국,
143,로슈포르의 숙녀들,2019-08-22,"1,140,000",0.0%,"20,707,228",173,"2,619",1,13,프랑스,프랑스,(주)에스와이코마드
143,비와 당신의 이야기,2021-04-28,"1,556,500",0.0%,"3,634,766,350",173,"398,580",31,50,한국,한국,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티"
146,좀비크러쉬: 헤이리,2021-06-30,"1,360,970",0.0%,"1,360,970",171,171,23,25,한국,한국,필름다빈
147,MSFF2021 봉준호 감독 단편 특별전,,"1,020,000",0.0%,"1,020,000",170,170,1,2,한국,한국,
148,소리에 놀라지 않는 사자처럼,2021-05-19,"412,000",0.0%,"1,387,940",167,297,2,34,한국,한국,(주)드림팩트엔터테인먼트
149,리골레토,,"1,869,000",0.0%,"32,388,500",165,"2,007",1,7,독일,독일,
150,산딸기,1982-09-04,"320,000",0.0%,"2,542,000",160,"1,266",1,6,한국,한국,
150,그을린 사랑,2011-07-21,"1,730,000",0.0%,"543,131,300",160,"69,337",2,21,캐나다,캐나다,(주)티캐스트
152,MSFF2021 인사이드 더 트웬티-디지털(1),,"954,000",0.0%,"954,000",159,159,1,2,한국,한국,
153,연평해전,2015-06-24,"1,500,000",0.0%,"45,569,255,830",150,"6,045,199",1,1,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
153,강철비2: 정상회담,2020-07-29,"1,500,000",0.0%,"14,663,146,110",150,"1,791,683",1,1,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
153,원더풀 고스트,2018-09-26,"1,500,000",0.0%,"3,722,439,600",150,"450,528",1,1,한국,한국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
156,모정에 우는 두 아들,,"298,000",0.0%,"15,494,000",149,"7,698",1,9,한국,한국,
156,이번엔 잘 되겠지,2021-07-08,"1,341,000",0.0%,"1,341,000",149,149,1,2,한국,한국,THE 픽쳐스
158,필로우 토크,,"296,000",0.0%,"11,417,500",148,"5,693",1,7,미국,미국,
159,메가 릴렉스 불멍,,"1,044,000",0.0%,"2,317,970",144,353,8,37,한국,한국,메가박스중앙(주)
160,고령가 소년 살인사건,2017-11-23,"923,000",0.0%,"135,251,000",134,"10,478",1,14,대만,대만,(주)리틀빅픽쳐스
160,빨간 마후라,,"268,000",0.0%,"17,617,000",134,"8,628",1,9,한국,한국,
162,MSFF2021 인사이드 더 트웬티-디지털(2),,"798,000",0.0%,"798,000",133,133,1,2,한국,한국,
163,ARKO LIVE 뮤지컬 시데레우스,2021-02-11,"1,827,000",0.0%,"47,258,500",129,"3,158",1,4,한국,한국,(주)아이디어랩
164,제17 포로수용소,,"320,000",0.0%,"10,534,000",128,"5,267",1,6,미국,미국,
165,아르코 라이브 뮤지컬 인사이드 윌리엄,2021-05-26,"2,085,000",0.0%,"15,602,500",127,878,12,22,한국,한국,(주)아이디어랩
166,분노,2017-03-30,"1,098,080",0.0%,"240,794,057",125,"29,752",2,10,일본,일본,메가박스중앙(주)플러스엠
167,혈투의 게곡,,"240,000",0.0%,"3,808,000",120,"1,598",1,8,미국,미국,
168,컨저링,2013-09-17,"1,212,500",0.0%,"16,367,862,867",119,"2,264,314",43,47,미국,미국,워너브러더스 코리아(주)
168,화양연화,2000-10-20,"1,071,000",0.0%,"980,585,600",119,"110,614",2,20,홍콩,"홍콩,프랑스",(주)디스테이션
170,은술잔,,"290,000",0.0%,"6,359,000",116,"3,160",1,6,미국,미국,
171,체리 향기,1998-01-01,"846,000",0.0%,"6,849,000",115,923,1,5,프랑스,"프랑스,이란",㈜영화사 백두대간
172,MSFF2021 아웃사이드 더 트웬티-디지털(1),,"684,000",0.0%,"684,000",114,114,1,2,한국,한국,
173,하나 그리고 둘,2000-10-28,"769,000",0.0%,"88,577,100",113,"9,500",1,14,대만,"대만,일본",(주)리틀빅픽쳐스
